ID,Release_Date,Title,TITLE,Popularity,Vote_Count,Vote_Average,Original_Language,Genre,,,,
262,23 June 2010,The Twilight Saga: Eclipse,The Twilight Saga: Eclipse,161.157,7381,6.2,English,Adventure,,,,
263,03 September 2021,Wild Indian,Wild Indian,161.074,21,6.4,English,Crime,,,,
264,01 March 2012,Project X,Project X,160.9,5048,6.8,English,Comedy,,,,
265,19 August 2021,The Prot√©g√©,The Prot„©G„©,160.697,531,6.6,English,Action,,,,
266,05 November 2021,Ida Red,Ida Red,160.579,25,5.9,English,Crime,,,,
267,14 January 2013,The Haunting of Helena,The Haunting Of Helena,159.578,119,5.6,English,Horror,,,,
268,30 September 2020,Vanguard,Vanguard,159.416,395,6.3,Chinese,Action,,,,
269,09 July 2003,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates Of The Caribbean: The Curse Of The Black Pearl,159.245,17095,7.8,English,Adventure,,,,
270,07 July 2021,"The Simpsons: The Good, the Bart, and the Loki","The Simpsons: The Good, The Bart, And The Loki",159.137,510,7.5,English,Animation,,,,
271,15 January 2021,The Marksman,The Marksman,158.638,1118,7,English,Action,,,,
272,15 December 2021,Vicky and Her Mystery,Vicky And Her Mystery,158.14,287,7.3,French,Adventure,,,,
